scenario,sortKey,sortDir,lastName,courseName
氏名_昇順,fullName,asc,,
氏名_降順,fullName,desc,,
受講生ID_昇順,idnumber,asc,,
受講生ID_降順,idnumber,desc,,
区分_昇順,personStatus,asc,,
区分_降順,personStatus,desc,,
コース名_昇順,courseName,asc,,
コース名_降順,courseName,desc,,
コース校舎_昇順,courseBranchName,asc,,
コース校舎_降順,courseBranchName,desc,,
コースカテゴリ_昇順,courseCategory,asc,,
コースカテゴリ_降順,courseCategory,desc,,
年度_昇順,nendo,asc,,
年度_降順,nendo,desc,,
コースでのステイタス_昇順,eventPersonStatus,asc,,
コースでのステイタス_降順,eventPersonStatus,desc,,
開始日_昇順,startDate,asc,,
開始日_降順,startDate,desc,,
終了日_昇順,endDate,asc,,
終了日_降順,endDate,desc,,
